scope,scenario,long_rule,short_rule,mode,instruments,eligible,positive_net,positive_gross,median_cagr,median_drawdown,median_full_return,positive_common,thin,thin_short_full,exhausted,trades,median_short_trades,short_contribution_positive,median_delta_long,median_delta_shared,improved_long,improved_shared,less_drawdown_long,improved_both_long
Watchlist ETFs & crypto,r20_r00,r20,r00,both,21,21,0,1,-0.04424018060413626,-0.5985599763572362,-0.3819811396298243,1,0,0,0,652,19,0,-0.09133036830338626,-0.0723380655505601,0,0,0,0
Watchlist ETFs & crypto,r20_r01,r20,r01,both,21,21,6,10,-0.01957163685076535,-0.530885512852377,-0.21703824142870365,8,0,0,0,1043,37,0,-0.07182441240948212,-0.04048136084634113,0,1,0,0
Watchlist ETFs & crypto,r20_r02,r20,r02,both,21,21,3,6,-0.02381382235694407,-0.5682838753543489,-0.19958535073127925,6,0,0,0,834,28,0,-0.0736517270976248,-0.051661132801326115,0,1,0,0
Watchlist ETFs & crypto,r20_r03,r20,r03,both,21,21,10,12,0.005925900924850236,-0.4532670267971357,-0.021351636961703502,11,0,0,0,1102,39,0,-0.053977932156425434,-0.0327844040273535,1,3,0,0
Watchlist ETFs & crypto,r20_r04,r20,r04,both,21,21,10,11,0.0028660301010021705,-0.467959581689236,-0.05025310191869903,11,0,0,0,1085,38,0,-0.052220969392214545,-0.030232120736467083,0,2,0,0
Watchlist ETFs & crypto,r20_r05,r20,r05,both,21,21,8,9,-0.01821380517128579,-0.48960289480114283,-0.1436685853618146,7,0,0,0,979,35,0,-0.061315108768046356,-0.03604575037516533,0,1,0,0
Watchlist ETFs & crypto,r20_r06,r20,r06,both,21,21,1,2,-0.045179942588910116,-0.5811529137327243,-0.3903123218987765,2,0,0,0,574,16,0,-0.08909277301015306,-0.06196647285221413,0,0,0,0
Watchlist ETFs & crypto,r20_r07,r20,r07,both,21,21,9,11,-0.005404194982072119,-0.47137332131855336,-0.08604578274338814,10,0,0,0,848,28,0,-0.05586486840912219,-0.03983180852321366,0,1,0,0
Watchlist ETFs & crypto,r20_r08,r20,r08,both,21,21,6,9,-0.01382158953633994,-0.5166930083831542,-0.1245993477391576,8,0,0,0,718,22,0,-0.06469178229199068,-0.04378965119039102,0,1,0,0
Watchlist ETFs & crypto,r20_r09,r20,r09,both,21,21,10,12,0.004969716897711196,-0.48062774928149143,-0.004407506461614696,12,0,0,0,882,29,1,-0.04270485234488142,-0.02473675020785182,1,3,0,0
Watchlist ETFs & crypto,r20_r10,r20,r10,both,21,21,10,12,0.0038023522464516457,-0.4806277492814923,-0.009810105765887589,12,0,0,0,875,28,0,-0.04561803809954923,-0.024274909573479442,1,2,0,0
Watchlist ETFs & crypto,r20_r11,r20,r11,both,21,21,11,13,0.004750160270539094,-0.4375653247889656,0.06736450688376183,11,0,0,0,806,25,0,-0.051509468912154244,-0.02147895455648874,0,3,0,0
Watchlist ETFs & crypto,r20_r12,r20,r12,both,21,21,4,4,-0.022078076488239118,-0.4791167012442329,-0.1781109421217827,5,0,0,0,447,10,0,-0.07236692822983937,-0.037766114620240154,0,1,0,0
Watchlist ETFs & crypto,r20_r13,r20,r13,both,21,21,12,16,0.009003312601683522,-0.4066744898874586,0.1023214968493964,12,0,0,0,590,17,1,-0.04389526637809871,-0.023956323754460884,1,7,0,0
