scope,mode,entry,exit,instruments,eligible,positive_full,positive_common,median_cagr,median_drawdown,median_full_return,thin_trade_samples,exhausted,channel_exit_share,closed_trades,neighbor_median
Watchlist ETFs & crypto,long,20,100,21,21,17,17,0.03354267402001754,-0.21708391610233124,0.39746347344242094,0,0,0.0,1045,0.03354267402001754
Watchlist ETFs & crypto,long,55,10,21,21,17,18,0.015233383483002294,-0.23137450949681393,0.13446578428009204,0,0,0.14642857142857144,840,0.013948631381279442
Watchlist ETFs & crypto,long,55,20,21,21,17,17,0.012663879279556589,-0.2296407461681843,0.11715256253739215,0,0,0.006150061500615006,813,0.012663879279556589
Watchlist ETFs & crypto,long,55,55,21,21,17,17,0.012663879279556589,-0.2336024907250358,0.11715256253739215,0,0,0.0,813,0.012663879279556589
Watchlist ETFs & crypto,long,55,100,21,21,16,17,0.012663879279556589,-0.2336024907250358,0.13980014771226124,0,0,0.0,791,0.012663879279556589
Watchlist ETFs & crypto,long,100,10,21,21,15,12,0.003973934944458968,-0.187759174636285,0.06748760584919378,0,0,0.138268156424581,716,0.005499818630065878
Watchlist ETFs & crypto,long,100,20,21,21,13,13,0.0036412434024442053,-0.19790793049321564,0.0509574303165381,0,0,0.008645533141210375,694,0.003973934944458968
Watchlist ETFs & crypto,long,100,55,21,21,13,13,0.0031411091017583548,-0.19790793049321564,0.0509574303165381,0,0,0.0,694,0.0036412434024442053
Watchlist ETFs & crypto,long,100,100,21,21,13,13,0.0031411091017583548,-0.19790793049321564,0.0509574303165381,0,0,0.0,694,0.00544222224254054
Watchlist ETFs & crypto,long,200,10,21,21,12,12,0.007025702315672788,-0.1700744074435946,0.06932865489537354,0,0,0.12748344370860928,604,0.007025702315672788
Watchlist ETFs & crypto,long,200,20,21,21,13,13,0.007743335383322725,-0.1700744074435957,0.07885432474199328,0,0,0.0068143100511073255,587,0.0073845188494977565
Watchlist ETFs & crypto,long,200,55,21,21,12,12,0.007743335383322725,-0.1700744074435957,0.07885432474199328,0,0,0.0,587,0.007743335383322725
Watchlist ETFs & crypto,long,200,100,21,21,12,12,0.007743335383322725,-0.1700744074435957,0.07885432474199328,0,0,0.0,587,0.007743335383322725
Watchlist ETFs & crypto,short,10,10,21,21,0,0,-0.06270880217174568,-0.5213092570751403,-0.508743851742844,0,0,0.14190193164933135,1346,-0.06270880217174568
Watchlist ETFs & crypto,short,10,20,21,21,0,0,-0.0665306042190349,-0.5316864381684363,-0.5328878836923461,0,0,0.013595166163141994,1324,-0.06461970319539029
Watchlist ETFs & crypto,short,10,55,21,21,0,0,-0.0665306042190349,-0.5316864381684363,-0.5384896432372694,0,0,0.006823351023502654,1319,-0.0665306042190349
Watchlist ETFs & crypto,short,10,100,21,21,0,0,-0.0665306042190349,-0.5316864381684363,-0.49694312376560656,0,0,0.005413766434648105,1293,-0.0665306042190349
Watchlist ETFs & crypto,short,20,10,21,21,0,1,-0.059655556029879486,-0.5057360480689497,-0.47407643406838207,0,0,0.1251372118551043,911,-0.060362919187727626
Watchlist ETFs & crypto,short,20,20,21,21,0,0,-0.061070282345575766,-0.49734460567382843,-0.48752367541668595,0,0,0.0011135857461024498,898,-0.061070282345575766
Watchlist ETFs & crypto,short,20,55,21,21,0,0,-0.061070282345575766,-0.49734460567382843,-0.45973725760375517,0,0,0.0,896,-0.061070282345575766
Watchlist ETFs & crypto,short,20,100,21,21,0,0,-0.061070282345575766,-0.49734460567382843,-0.4554257278517856,0,0,0.0,883,-0.061070282345575766
Watchlist ETFs & crypto,short,55,10,21,21,1,1,-0.038886259917352395,-0.4089164429620995,-0.292411766847372,0,0,0.1073170731707317,410,-0.03557141540592579
Watchlist ETFs & crypto,short,55,20,21,21,1,1,-0.03225657089449918,-0.3916140398272835,-0.292411766847372,0,0,0.002457002457002457,407,-0.03225657089449918
Watchlist ETFs & crypto,short,55,55,21,21,1,1,-0.03225657089449918,-0.3916140398272835,-0.292411766847372,0,0,0.0,407,-0.03225657089449918
Watchlist ETFs & crypto,short,55,100,21,21,1,1,-0.03225657089449918,-0.3916140398272835,-0.29081929721472444,0,0,0.0,404,-0.03225657089449918
Watchlist ETFs & crypto,short,100,10,21,21,1,1,-0.019697979771040153,-0.320167156581714,-0.17631592373948768,0,0,0.092,250,-0.020258286307906104
Watchlist ETFs & crypto,short,100,20,21,21,2,2,-0.020818592844772055,-0.33159977377264793,-0.17953947522575275,0,0,0.0,248,-0.020818592844772055
Watchlist ETFs & crypto,short,100,55,21,21,2,2,-0.020818592844772055,-0.33159977377264793,-0.17953947522575275,0,0,0.0,248,-0.020818592844772055
Watchlist ETFs & crypto,short,100,100,21,21,2,2,-0.020818592844772055,-0.33159977377264793,-0.17953947522575275,0,0,0.0,248,-0.020818592844772055
Watchlist ETFs & crypto,short,200,10,21,21,4,4,-0.008919418742122542,-0.23756092279891994,-0.08438505413869435,1,0,0.08571428571428572,140,-0.009168360017011934
Watchlist ETFs & crypto,short,200,20,21,21,4,4,-0.009168360017011934,-0.2361278392248004,-0.0866455647910731,2,0,0.0,139,-0.009168360017011934
Watchlist ETFs & crypto,short,200,55,21,21,4,4,-0.009168360017011934,-0.2361278392248004,-0.0866455647910731,2,0,0.0,139,-0.009168360017011934
Watchlist ETFs & crypto,short,200,100,21,21,4,4,-0.009168360017011934,-0.2361278392248004,-0.0866455647910731,2,0,0.0,139,-0.009168360017011934
