scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,channel_initial-e200-x10-i2-t3,both,60,60,35,42,35,0.003876397773386109,-0.3010946018351667,0.03880405890115579,1,0,1715,1043,672,0
Priority assets,channel_initial-e200-x10-i2-t3,long,60,60,44,49,44,0.01216792616488993,-0.18096968126230767,0.12638228900854487,2,0,1324,848,476,0
Priority assets,channel_initial-e200-x10-i2-t3,short,60,60,11,15,11,-0.01365244880779326,-0.2324654100972039,-0.11692583395921019,12,0,391,195,196,0
Priority assets,channel_initial-e200-x10-i3-t3,both,60,60,35,43,35,0.005778126542122841,-0.3153118488779112,0.058405993285861935,1,0,1581,1308,273,0
Priority assets,channel_initial-e200-x10-i3-t3,long,60,60,48,51,48,0.010841189749773106,-0.17075702330283543,0.11193571353632381,2,0,1222,1034,188,0
Priority assets,channel_initial-e200-x10-i3-t3,short,60,60,11,14,11,-0.016613227543985587,-0.26208459951400687,-0.14952360120163743,15,0,359,274,85,0
Priority assets,channel_initial-e200-x20-i2-t3,both,60,60,37,43,37,0.008982123143599252,-0.3194886274196827,0.09199637288145746,1,0,1377,652,725,0
Priority assets,channel_initial-e200-x20-i2-t3,long,60,60,51,55,51,0.014195074155341492,-0.21623646369342053,0.1487769431844167,2,0,1022,523,499,0
Priority assets,channel_initial-e200-x20-i2-t3,short,60,60,11,14,11,-0.013380390417542354,-0.23132304738892706,-0.1241385412073403,18,0,355,129,226,0
Priority assets,channel_initial-e200-x20-i3-t3,both,60,60,40,43,40,0.010025350370183705,-0.3098400815017537,0.10314193649655501,1,0,1211,813,398,0
Priority assets,channel_initial-e200-x20-i3-t3,long,60,60,54,54,54,0.019707444177504807,-0.2205758604164278,0.19666461313590267,2,0,895,627,268,0
Priority assets,channel_initial-e200-x20-i3-t3,short,60,60,11,12,11,-0.016887090859895038,-0.24470618624698032,-0.14317333639210855,23,0,316,186,130,0
Priority assets,channel_initial-e200-x55-i2-t3,both,60,60,43,46,43,0.013050715830353998,-0.31902993560139037,0.13441057718249083,2,0,958,316,642,0
Priority assets,channel_initial-e200-x55-i2-t3,long,60,60,54,56,54,0.03433733980347731,-0.23531286273519192,0.3487303024875885,3,0,640,255,385,0
Priority assets,channel_initial-e200-x55-i2-t3,short,60,60,10,12,10,-0.01619905784163095,-0.2626062907372839,-0.1484322373210516,26,0,320,61,259,0
Priority assets,channel_initial-e200-x55-i3-t3,both,60,60,41,43,41,0.012736450274663302,-0.3522731952387921,0.1326211418418768,2,0,817,364,453,0
Priority assets,channel_initial-e200-x55-i3-t3,long,60,60,54,55,54,0.035352738882995394,-0.2424903161486785,0.4075761012063501,4,0,543,281,262,0
Priority assets,channel_initial-e200-x55-i3-t3,short,60,60,8,11,8,-0.021964197953832254,-0.28618255746874305,-0.19630277080609237,31,0,276,84,192,0
