scope,scenario,period,cost,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e10-x40-s3,validation,normal,60,0.04593242884977011,-0.33408186864985073,47,0.3092445347040216,3,2,0
Priority assets,e10-x40-s3,validation,double,60,0.0378437200623688,-0.3516523174086038,44,0.25852227218690604,3,2,0
Priority assets,e10-x40-s3,validation,gross,60,0.05419341745945461,-0.31335399484122883,54,0.37813195186164894,3,2,0
Priority assets,e10-x55-s0,full,normal,60,0.0701561874954586,-0.36825927100649336,58,1.0611727819466688,2,0,0
Priority assets,e10-x55-s0,full,double,60,0.06436046373815585,-0.38639919224522423,57,0.9451366206030877,2,0,0
Priority assets,e10-x55-s0,full,gross,60,0.07577178742495527,-0.3561054228145145,59,1.1795352556416838,2,0,0
Priority assets,e10-x55-s0,validation,normal,60,0.054103999856273455,-0.3601275806051784,47,0.30519734494043127,3,2,0
Priority assets,e10-x55-s0,validation,double,60,0.04720809008072657,-0.37729962311274856,45,0.25967249837321893,3,2,0
Priority assets,e10-x55-s0,validation,gross,60,0.0677655991992413,-0.3416195638550623,48,0.37789814279703904,3,2,0
Priority assets,e10-x55-s2,full,normal,60,0.07049194889396837,-0.34191236556961535,57,0.9794717481229197,2,0,0
Priority assets,e10-x55-s2,full,double,60,0.06111117462778226,-0.3547126666552635,55,0.8449388188949298,2,0,0
Priority assets,e10-x55-s2,full,gross,60,0.07820878950217558,-0.3225823790186826,59,1.123392947399383,2,0,0
Priority assets,e10-x55-s2,validation,normal,60,0.06095513548295861,-0.333341507373259,54,0.4029871036877892,2,2,0
Priority assets,e10-x55-s2,validation,double,60,0.04923574549020804,-0.34776658411677785,47,0.3213738069986817,2,2,0
Priority assets,e10-x55-s2,validation,gross,60,0.070045819743212,-0.3163256121843291,57,0.4899061535968492,2,2,0
Priority assets,e10-x55-s3,full,normal,60,0.06050186375645683,-0.361543668074608,58,0.871217612690877,2,0,0
Priority assets,e10-x55-s3,full,double,60,0.05379572234025043,-0.37530617666679494,58,0.7488079446819433,2,0,0
Priority assets,e10-x55-s3,full,gross,60,0.06768896690762694,-0.34887394620959145,59,1.0070688703096702,2,0,0
Priority assets,e10-x55-s3,validation,normal,60,0.05543290102850196,-0.3579564656933882,49,0.3131089767469547,3,2,0
Priority assets,e10-x55-s3,validation,double,60,0.04960566890215423,-0.37003197678800176,46,0.2667390283506861,3,2,0
Priority assets,e10-x55-s3,validation,gross,60,0.06044046429710237,-0.3408053508776147,54,0.39007594115699173,3,2,0
Priority assets,e10-x70-s0,full,normal,60,0.07712442305417522,-0.35266485277990006,60,1.1763995094108413,2,0,0
Priority assets,e10-x70-s0,full,double,60,0.0717526913491986,-0.36407087969057245,58,1.0713969139953274,2,0,0
