scope,scenario,cost,year,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Whole universe,e10-x55-s2,normal,2025,653,0.03479072216814916,-0.20906394552571284,361,0.034766499987223254,550,653,0
Whole universe,e10-x55-s2,normal,2026,658,0.07940911366923309,-0.20497075947270949,397,0.053031484692035,632,658,0
Whole universe,e10-x55-s2,double,2020,600,0.19305111983895973,-0.22219577465510143,440,0.19233063159077624,558,600,0
Whole universe,e10-x55-s2,double,2021,609,0.13488261824437275,-0.17358502961461253,435,0.13478433651889987,547,609,0
Whole universe,e10-x55-s2,double,2022,619,-0.1849082603948342,-0.3162191276047659,126,-0.18433773480033122,408,619,0
Whole universe,e10-x55-s2,double,2023,628,0.06401753728531634,-0.20500633276985175,380,0.0637916054086195,536,628,0
Whole universe,e10-x55-s2,double,2024,634,0.053739254074263054,-0.18372927468478967,384,0.054154625566171566,560,634,0
Whole universe,e10-x55-s2,double,2025,653,0.024959892810804796,-0.21640530083164922,350,0.024942597384417065,550,653,0
Whole universe,e10-x55-s2,double,2026,658,0.06635704523670072,-0.21050696479462822,387,0.04440518297669371,632,658,0
Whole universe,e20-x55-s0,normal,2020,600,0.17687380911193495,-0.2271943074522399,432,0.1762180449415809,600,600,0
Whole universe,e20-x55-s0,normal,2021,609,0.17029649266742375,-0.16672960767447897,461,0.1701705326656664,609,609,0
Whole universe,e20-x55-s0,normal,2022,619,-0.17436457739591626,-0.3075900743189608,135,-0.17382301251426202,617,619,0
Whole universe,e20-x55-s0,normal,2023,628,0.07706779110633077,-0.18967998944424147,413,0.07679416387427096,628,628,0
Whole universe,e20-x55-s0,normal,2024,634,0.0720331586364138,-0.17472154789672983,398,0.07259473039307285,632,634,0
Whole universe,e20-x55-s0,normal,2025,653,0.04183634680703241,-0.20972407981698038,380,0.0418071209804145,653,653,0
Whole universe,e20-x55-s0,normal,2026,658,0.06338160107656865,-0.20482148850835602,391,0.042433859324606304,658,658,0
Whole universe,e20-x55-s0,double,2020,600,0.16616563346153568,-0.23069359492477148,429,0.1655522921746012,600,600,0
Whole universe,e20-x55-s0,double,2021,609,0.1636516614688548,-0.16978257025774635,452,0.1635309513792369,609,609,0
Whole universe,e20-x55-s0,double,2022,619,-0.18230160406516782,-0.31378926700240384,132,-0.18173819518424372,617,619,0
Whole universe,e20-x55-s0,double,2023,628,0.07036688498201149,-0.19305884660615075,405,0.07011781334912248,628,628,0
Whole universe,e20-x55-s0,double,2024,634,0.06744668922323782,-0.17821516856838476,395,0.06797138298420169,632,634,0
Whole universe,e20-x55-s0,double,2025,653,0.03653271368932276,-0.21301605416375113,375,0.03650725742956795,653,653,0
Whole universe,e20-x55-s0,double,2026,658,0.056978546054408885,-0.20692096074224264,382,0.038184934026166295,658,658,0
Whole universe,e20-x55-s3,normal,2020,600,0.16800886674338922,-0.20700433480334013,439,0.1673882463241576,596,600,0
Whole universe,e20-x55-s3,normal,2021,609,0.1454690263441838,-0.16664150980568881,447,0.1453625487881156,602,609,0
Whole universe,e20-x55-s3,normal,2022,619,-0.15290843594752934,-0.27568202070964165,130,-0.15242721831246697,601,619,0
Whole universe,e20-x55-s3,normal,2023,628,0.05746637873923233,-0.18870943764407372,394,0.05726418432238145,617,628,0
Whole universe,e20-x55-s3,normal,2024,634,0.05675815583065669,-0.17472447197338287,381,0.0571974904989373,620,634,0
Whole universe,e20-x55-s3,normal,2025,653,0.03833402071554515,-0.19412891056128057,365,0.03830728625029067,650,653,0
Whole universe,e20-x55-s3,normal,2026,658,0.06247527773261863,-0.19806789494181026,389,0.04183293827408918,657,658,0
Whole universe,e20-x55-s3,double,2020,600,0.16157030990196464,-0.21201683162358215,433,0.16097507691510582,596,600,0
Whole universe,e20-x55-s3,double,2021,609,0.1412929966093408,-0.17025367086889232,437,0.1411897600961498,602,609,0
Whole universe,e20-x55-s3,double,2022,619,-0.1626845463922879,-0.2830441768246552,124,-0.16217559972634965,601,619,0
Whole universe,e20-x55-s3,double,2023,628,0.05094857888832638,-0.19304057944953262,385,0.05076986388206162,617,628,0
Whole universe,e20-x55-s3,double,2024,634,0.05170623678659725,-0.17782239879751488,376,0.05210550904587008,620,634,0
Whole universe,e20-x55-s3,double,2025,653,0.03306429920210863,-0.1977672237817102,359,0.033041298091826876,650,653,0
Whole universe,e20-x55-s3,double,2026,658,0.05469461868138581,-0.20151275277725178,383,0.036667375274826,657,658,0
Whole universe,baseline-long,normal,2020,600,0.00954033067474791,-0.18097083471922637,313,0.009507525937869299,215,600,0
Whole universe,baseline-long,normal,2021,609,0.01839355823530142,-0.1294685272090459,341,0.018380853528785046,194,609,0
Whole universe,baseline-long,normal,2022,619,-0.04704017528158089,-0.15441424107909885,213,-0.04688302331732719,316,619,0
Whole universe,baseline-long,normal,2023,628,0.03781123438878098,-0.13100376633975486,390,0.03767942469325325,363,628,0
Whole universe,baseline-long,normal,2024,634,-0.02657691386436456,-0.1320934578644825,259,-0.026774310442522486,125,634,0
Whole universe,baseline-long,normal,2025,653,-0.01683528251032884,-0.14031377072018103,281,-0.016823856867540954,325,653,0
Whole universe,baseline-long,normal,2026,658,-0.01593346399886192,-0.14648609522113915,306,-0.010802980320664624,503,658,0
Whole universe,baseline-long,double,2020,600,-0.010116733784540533,-0.19149115481479467,284,-0.010082286911444027,215,600,0
Whole universe,baseline-long,double,2021,609,0.00490874989090706,-0.1380402504498287,316,0.004905381807476461,194,609,0
Whole universe,baseline-long,double,2022,619,-0.06156945029241667,-0.1644947078780119,192,-0.061365342169815706,316,619,0
Whole universe,baseline-long,double,2023,628,0.02410189831105447,-0.1393345872793137,363,0.024018431314949296,363,628,0
Whole universe,baseline-long,double,2024,634,-0.0414089607257741,-0.14181491941695135,238,-0.04171413715863942,125,634,0
Whole universe,baseline-long,double,2025,653,-0.033049865747672436,-0.14854509628201995,260,-0.03302762209634802,325,653,0
Whole universe,baseline-long,double,2026,658,-0.03130753459731317,-0.15378262325390496,283,-0.02128051084962329,503,658,0
Whole universe,baseline-short,normal,2020,600,-0.04410744227269242,-0.22258458175056955,233,-0.04395986043860706,310,600,0
Whole universe,baseline-short,normal,2021,609,-0.08865038867164099,-0.1351585252150077,68,-0.08859248170577205,402,609,0
Whole universe,baseline-short,normal,2022,619,-0.06899412498130642,-0.18327633735352056,195,-0.06876631709213354,260,619,0
Whole universe,baseline-short,normal,2023,628,-0.07781193017417204,-0.13790105936519942,139,-0.07755623815015433,296,628,0
Whole universe,baseline-short,normal,2024,634,-0.06257434601652273,-0.13112752714425402,143,-0.06303030522806563,481,634,0
Whole universe,baseline-short,normal,2025,653,-0.09141821200994449,-0.16444646830255483,148,-0.09135858919674023,344,653,0
Whole universe,baseline-short,normal,2026,658,-0.09416876154131365,-0.13320163617431208,147,-0.06469498798799722,621,658,0
Whole universe,baseline-short,double,2020,600,-0.05982872204499873,-0.23325796740321375,200,-0.059630199561360675,310,600,0
Whole universe,baseline-short,double,2021,609,-0.09950793713833883,-0.1450124490428052,52,-0.09944333241798686,402,609,0
